Question Number,Question Text,Selected Answer,Correct Answer,Correct/Incorrect,Feedback
22,"In a typical business complex and mid-sized agile project, what does the team attempt to develop every Sprint?","A Potentially Releasable Product Increment","A Potentially Releasable Product Increment",Correct,"The output of every Sprint is called a Potentially Releasable Product Increment. It is the sum of the Product Backlog Items completed during a Sprint. Delivering Potentially Releasable Product each Sprint is fundamental to the Scrum since in agile as work is divided into simple pieces, it can be finished in a short iteration. The product backlog is a living document that has anything and everything about project work. It is the ordered list of all the work presented in story form for a team Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 101"
23,"The product owner of an agile project has the responsibility of grooming the product backlog. Grooming involves prioritizing and re-prioritizing user stories on a regular basis. As an agile best practice, which of the following criteria are most important for the owner to use when grooming the product backlog?","Customer value and personas","Customer value and risk",Incorrect,"The two most important criteria to consider when the product owner is grooming the product backlog is the value of the user story and the risk involved in the work required to complete the user story. High-value user stories are always considered high priority. High-risk user stories are typically prioritized so that the risk of project failure can be dealt with or determined early in the project before significant costs and resources have been devoted. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 52-53"
24,"A scrum team that has been working on an agile project, is arguing over the story points in the sprint meeting planning. The product owner is pushing the team to complete 170 story points of user stories in the next sprint whereas the average velocity of the development team is 150 story points per sprint. Who will make the final decision to fix the number of story points to be completed in a sprint?","The development teams","The development teams",Correct,"In the scrum, before making any commitment about the completion of user stories, development team discusses and then decides how many story points they can complete in the current sprint. It is the development team that is going to work on the product and know their capability and pace, therefore, the development team should make the final decision to fix the number of story points to be completed in a sprint."
25,"Which of the following is not a feature of an Agile team?","Team members are 100% dedicated","Each team member has a specialty",Incorrect,"An agile team is a cross-functional team. They are preferred to be a generalist. A cross-functional team is one with a variety of skills, abilities and experience, so that they can develop their scope (stories, features, ""product backlog items"", whatever) by themselves, without help from others."
26,"On the completion of the first three iterations, an agile team determined that 344 story points are required to complete the remaining project. The average team velocity in the first three iterations was 50 story points. What will be the number of iterations required for the team to complete the project?","7 Iterations","7 Iterations",Correct,"The velocity of the team is used to track the progress of the project and measured in terms of how many user stories it completes in one iteration. The average velocity of the team is measured based on its performance in the first few iterations .In this question, the average team velocity in the first three iterations was 50 story points. Now, 344 story points are left to complete the project. The number of iterations required to complete the project is calculated as the number of story points left divided by the average team velocity i.e. 344/50 in this case. It calculates at 6.88. In the case of iterations, we need to consider the whole number next to the result. Therefore, there is a need for 7 more iterations to complete the project."
27,"A team member is constantly spending on items that are not in the sprint backlog. As a Scrum Master what should you do?","Talk to the member in person.","Talk to the member in person.",Correct,"As a first step, Scrum Master should talk to the member in person to understand the situation better. Only if needed, the issue may be further discussed with the team."
28,"Florian is a stakeholder in STC company. He has recently learned that the team will use an agile framework in the current project. In a planning meeting, Florian tells the team members that they are not doing formal documentation in this project as they were doing in the previous projects. How will the team members reply to his statement?","In agile, documentation is done for the clear work item only","In agile Methodology, The documentation is kept barely sufficient to fulfill regulatory requirement",Incorrect,"Agile Manifesto Value number 2 states ""Working software over comprehensive documentation"". In agile, creating the formal documentation with a detailed description of everything is considered a wastage of time. It does not mean that documentation is not necessary at all. It is necessary but it should be kept barely sufficient to fulfill regulatory requirements in an agile environment. Although for some safety-critical products, some additional documentation and conformance checks are recommended."
29,"The velocity of an 8-member Agile team over the past few sprints has been 36, 32, 40, 46, 38 and 48 story points. In the next 2-week Sprint, there are two public holidays planned. How many points must the team plan for?","32 story points","Whatever the team feel comfortable with",Incorrect,"The historical velocity is only a 'guideline' for future sprint planning – it is not a 'must' . The final decision on exactly how many points are picked up for the next Sprint rests with the team."
30,"One role of an agile practitioner is to promote the knowledge and execution of agile practices within an organization. Which of the following agile practitioners is responsible for the creation and maintenance of the product roadmap?","Product owner","Product owner",Correct,"The product owner is the voice of the customer and has the information and access required to define and prioritize development iterations, releases and ultimately a product roadmap. Once created the product owner is responsible for any changes required to the product roadmap and the individual releases that collectively form the roadmap. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 41"
31,"A team lead is currently demonstrating a potentially shippable product increment for project stakeholders. Which agile meeting is being conducted?","Iteration review meeting","Iteration review meeting",Correct,"At the end of each iteration, the project team demonstrates a potentially shippable product increment to project stakeholders during the iteration review meeting. These meetings may also be referred to as demonstrations or sprint reviews. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 55"
32,"At the sprint retrospective meeting, the team lead drew a fishbone diagram, wrote a problem at the head of the fish, and labeled the bones of the fish with categories. What should the team do next?","Brainstorm factors within each category","Brainstorm factors within each category",Correct,"After the problem is written at the head of the fish, and after the bones of the fish are labeled with categories, the next step is to brainstorm factors within each category. A Guide to the Project Management Body of Knowledge, (PMBOK® Guide) – Sixth Edition., 2017, Page(s), 293-294"
33,"What is the most important reason why Product Owner needs to be present in Sprint Planning meeting?","Decide team velocity based on historical performance","Provide clarification on requirements",Incorrect,"Providing details on requirements is the most important reason PO needs to attend Sprint Planning meeting. Other three tasks need to be performed by the team."
34,"Team has finished release planning meeting and agreed on condition of satisfaction, priority of backlog items, team velocity, etc. There are some large features that were not estimated, however team decided to split them closer to development. Few sprints have passed, but team has not been able to update release plan due to time constraints. During Sprint Planning, team decides to split one large feature into 4 smaller stories based on operational boundaries. Unfortunately, there is not enough capacity in the current iteration, so team can include only 2 of the 4 stories in this sprint. When team demonstrates the product increment during the sprint review meeting, the PO refuses to accept these two user stories that the team had marked as Done. What could have potentially gone wrong?","During Sprint planning meeting, condition of satisfaction or acceptance criteria may not have been discussed while splitting the user story.","During Sprint planning meeting, condition of satisfaction or acceptance criteria may not have been discussed while splitting the user story.",Correct,"Conditions-of-satisfactions are continuously iterated, They are discussed and agreed upon, both at the start of release planning and iteration planning. In the question above the most likely scenario for PO not accepting the stories during Demo is that condition of the satisfaction of each of the user story derived by splitting feature, would have not been discussed. Since not all the user stories that comprised the feature were part of sprint it is even more important that definition of done is discussed for each story and not rely on definition of done for the feature which was agreed during release planning meeting. Team can split features based on operational boundaries, Release plan should be periodically revisited and revised however that is not the reason for problem, The definition of done is orthogonal to user acceptance criteria (functional acceptance) for a feature. It is a comprehensive checklist of necessary, value-added activities that assert the quality of a feature and not the functionality of that feature/story."
35,"How does an agile team go about developing a schedule?","By estimating story points and making use of the team velocity","By estimating story points and making use of the team velocity",Correct,"The team estimates story points and applies the team velocity (the rate at which the team completes story points), and derives a schedule."
36,"What role Product Owner plays in the sprint planning meeting?","Product Owner grooms or maintains the Product Backlog and prioritized stories are used for sprint planning","Product Owner grooms or maintains the Product Backlog and prioritized stories are used for sprint planning",Correct,"B is the best choice of the 4. The Product Owner creates and maintains the backlog for the product, therefore, the Product Owner directs the team activities by prioritize items in the backlog based on the anticipated value of each item."
37,"In evaluating an agile project, which of the following metrics would you use to compare effectiveness of two agile team / projects?","Velocity","Return on investment",Incorrect,"Agile recommends making people accountable for customer outcomes. Velocity is good for release planning but not for comparing two teams. You may think that Return on Investment goes beyond the scope of the team but it is not, the product owner and the team have to work on generating maximum value not high velocity."
38,"An agile team finished coding for the current iteration. Which of the following is a continuous process improvement ceremony that the team will now attend?","Product demonstration meeting","Iteration retrospective meeting",Incorrect,"The iteration retrospective meeting is a formal ceremony used in agile. This event is held at the end of each iteration where lessons learned during the iteration are reviewed, and specific plans of action are implemented during the next iteration to prevent these issues from occurring again on the project. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 50-51"
39,"While working on a hybrid project, an agile practitioner is responsible to perform the duties of both the project scrum master and provide project performance reports periodically to the senior management. The project sponsor suggests the agile practitioner that track the velocity of each team member individually instead of tracking the team velocity to monitor the progress of the project. What would the agile practitioner do as per agile best practices?","Track and report only individual velocity to monitor the team performance","Track and report only team velocity to monitor the team performance",Incorrect,"Agile best practices prefer to track and report the velocity of the team rather than the individual's velocity for monitoring the project. But some agile teams track the velocity of each team member individually in terms of completed story points or ideal days. This is not a good approach as it can cause behavioral issues in the team and can work against the success of the project team."
40,"Which two actions should a project manager consider while launching a new virtual team? (choose two)","Verify if team member's own strengths and weaknesses as a virtual team leader to identify avoidable pitfalls","Establish in the beginning, bow progress will be monitored and the means for communicating progress. Verify if team members are on more than one team and cannot devote enough time to this team.",Incorrect,"1- Establish in the beginning, how progress will be monitored and the best means for communicating progress. 2- Verify if team members are on more than one team and cannot devote enough time to this team."
41,"You are an Agile practitioner working on an agile project using the Scrum framework. The primary purpose of a Sprint Review is for the team to?","Demonstrate what was accomplished during the sprint.","Demonstrate what was accomplished during the sprint.",Correct,"A Sprint Review is held at the end of the Sprint to inspect the Increment and adapt the Product Backlog if needed. During the Sprint Review, the Scrum Team and stakeholders collaborate about what was done in the Sprint. Based on that and any changes to the Product Backlog during the Sprint, attendees collaborate on the next things that could be done to optimize value."
42,"An agile team is working on a project for which the user stories have not been tested sufficiently. What could be the reason behind it?","Incomplete definition of done","Incomplete definition of done",Correct,"""Definition of the done"" involves the tasks needed for the completion of the user story as well as testing of the specific functionalities. Code reviews, the different type of testing's and other criteria that the team thinks are needed to deliver a good quality product should be included in the ""definition of done"" of a user story. It provides a checklist of the tasks against which the team checks if a user story is complete or not."
43,"You have been appointed as the Servant Leader for your company's latest software development project running in agile framework. Which of the following defines your role?","Your main role is to ensure the processes and help project team to remove impediments.","Your main role is to ensure the processes and help project team to remove impediments.",Correct,"The Scrum Master ensures the process is successful and not the project."
44,"Based on the velocity determined after completing several iterations, agile team members assume that they will be unable to meet the release deadline. What should the team do?","Slice user stories so that the team can increase velocity","Meet with the product owner to re-prioritize the backlog",Incorrect,"Typically, on agile projects, the cost and the schedule are fixed, while the scope is flexible. Meeting with the product owner to discuss the scope reduction, or in other words, to re-prioritize the backlog, is the best option among the answer choices provided. Ultimately, it is up for the product owner to decide what to do based on input from the team. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 52-53 , 91"
45,"During a retrospective, the members of the agile team mention that the agile coach's actions during the last iteration did not align with agile best practices. To which of the following did the team most likely refer?","The agile coach assigned user stories to individual team members","The agile coach assigned user stories to individual team members",Correct,"Agile encourages self-directing and self-organizing teams, where the team members decide who will perform the work. The team members choose their work tasks for the next iteration. Agile teams thrive with servant leadership. In agile, the team members pull their work from an iteration backlog. The coach does not assign work to the development team. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 33-39"
46,"Which statement is true about the Sprint Burndown chart?","It helps team assess how much work is remaining to be done, measured in story points","It helps team assess how much work is remaining to be done, measured in ideal hours",Incorrect,"Sprint Burndown chart is based on tasks pending for the current Spring and depicts remaining work estimated in ideal hours. Release Burndown chart on the other hand plots story points remaining to be done at the release level."
47,"Assuming same team capacity, how would doubling the work in progress (WIP) affect Cycle Time?","Doubling the work in progress (WIP) would double the Cycle Time","Doubling the work in progress (WIP) would double the Cycle Time",Correct,"Per Little's Law, given same team capacity (and throughput), Cycle Time is directly proportional to total work in progress."
48,"Team with Product Owner have started sprint planning meeting for Sprint #3. Release duration is 4 months with 5 sprints. PO presents sprint goals and team is seeking clarification for one of the use stories. PO provides required explanation however she also mentions that for her to approve the user story in demo she need to have these three functionalities done and demonstrated in right way. Team has some doubts and discusses further with PO. After the discussion PO agrees to need of only two features to be demonstrated by team for her to approve the story. What team is doing in this scenario?","Team is discussing and helping to define condition of satisfaction for sprint with product Owner","Team is discussing and helping to define condition of satisfaction for sprint with product Owner",Correct,"User story is a short description of feature required and by who, User story is further discussed by team with PO to understand details of what functionalities are expected to be able to complete user story , there are called as condition of satisfaction."
49,"An agile team is in the process of adopting XP practices and is keen to have a co-located customer. But the customer team being in a different continent, customer co-location is not really an option. What is the next reasonable option for the long term?","Use collaboration tools with the customer to reduce miscommunication and rework.","Use collaboration tools with the customer to reduce miscommunication and rework.",Correct,"Though recommended for XP teams, customer co-location is not a must-have requirement. If not possible due to logistic reasons, the next best long-term option is to use collaboration tools to facilitate transparency, and reduce miscommunication and rework."
50,"An agile project to develop software for a new inventory control system is in the initiation stage. Which of the following would most likely be included in the project charter?","The Project vision or purpose","The Project vision or purpose",Correct,"Every project needs a project charter, so the project team knows why this project matters, where the team is headed and what the project objective is. At a minimum, for an agile project, the team needs the project vision or purpose and a clear set of working agreements. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 49-50"
51,"You are a scrum master, handing a team working on an agile project. The product owner could not take part in the recent sprint planning meeting due to his other responsibilities. A team member escalates in the daily standup meeting that he needs clarification for a user story, but not able to contact the product owner to get feedback. What will you do in this situation as a scrum manager?","Contact the product owner on behalf of the team member","Contact the product owner on behalf of the team member",Correct,"Agile Manifesto Principle emphasizes that the developers and business stakeholders should work together daily throughout the life of the project. In agile practices, it is the product owner who takes the decisions regarding the product."
52,"The newly-organized agile project team is creating the schedule management plan, they documented time-boxed periods for releases, waves, and iterations for the project. What is the project team trying to achieve by documenting time-boxed periods for each iteration?","Minimize scope creep","Minimize scope creep",Correct,"For this situation, the agile project team is *documenting time-boxing to help in minimizing scope creep* as it forces the teams to process essential features first, then other features when time permits. Options B, C, and D are not relevant for the given scenario. PMBOK Guide – Sixth Edition, Project Management Institute Inc., 2017, Page(s) – 182."
53,"In a Scrum project, the term ""done"" is BEST described when a deliverable is:","Complete as mutually agreed by the team & product owner","Complete as mutually agreed by the team & product owner",Correct,"The use of ""done"" is indicative of the deliverable having been completed as mutually agreed to by the team & product stakeholders. The team keeps detail checklist which explains or list outs the done criteria."
54,"You are working as an agile practitioner and in the middle of the project the developing team lead came to you mentioned that he is interested in the operation manager position which was published internally in the company. What would be your action?","Discuss it first with the product owner to see the impact on the project","Support him to grow as he has the talent",Incorrect,"You would need to support him in growing then an agreement can be done with the team lead that he can support the project with educating one of the team members with taking his role. Other answers would demotivate him if you think he really would fit in the new role and he has the skills for it."
55,"In Agile methods, project planning may take place at 3 levels, such as visioning, release planning, and iteration planning. These 3 levels are examples of what?","Refactoring","Progressive elaboration",Incorrect,"Progressing from vision to release to iteration is an example of progressively elaborating on the plans for a project, from highlevel to low level."
56,"Your Company has hired a Lean consultant. The consultant is having discussion with the team about flow of work, team roles, processes, documentation, and lesson learned. What should be the top priority of lean consultant during this review?","Identify and eliminate waste","Identify and eliminate waste",Correct,"at the core of Lean, is the principle of eliminating waste. So the first focus of the consultant should be identifying and eliminating waste,"
57,"Senior management calls the Product Owner to understand the detailed project status. What should the Product Owner do?","Redirect management to the electronic tool that hosts release plan, Scrum board, and different project metrics.","Redirect management to the electronic tool that hosts release plan, Scrum board, and different project metrics.",Correct,"The scrum board and electronic tool are important information radiators that serve as a quick project status for all stakeholders – the team, customer, and the rest of the organization. This could be used for basic project reporting. Only in case of additional management reporting requirements, a meeting or document may be required."
58,"To compensate for the loss of productivity due to inefficient communication in a distributed team environment, management created a team of 14 members. But, the team is performing far below expectations. What should the management do next?","Co-locate all the team members","Split the team into two teams",Incorrect,"14 members is a very high number even for a co-located team. The first thing the management should try is to split the team into two teams, favouring co-location as much as possible."
59,"Two teams are working on different projects. Team A averages 20 points per iteration and team B averages 35. What can be said about the performance of the two teams?","No comparison about performance can be made based solely on these figures","No comparison about performance can be made based solely on these figures",Correct,"Since story points are used to 'estimate' and are not standardized, what comparison can you make between teams? One should not compare the performance of the two agile teams based on individual team velocity. The size of a story point is unique for each team. Thus, it is impossible to say which team is more productive based on their velocity. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 66"
60,"In the mid of a software development project, a project stakeholder requests the scrum master for adding a new feature that will increase the project cost and schedule. What should the Scrum Master do next?","Set up a meeting between the project stakeholder and the product owner.","Set up a meeting between the project stakeholder and the product owner.",Correct,"The Product owner is responsible for guiding the direction of the product that includes features and functionality, cost, schedule. The product owner is the person who is ultimately accountable for the end product that is built. The product owner works with customers and the teams to define and maintain the product direction. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 40,41"
61,"How should an agile practitioner respond when asked what type of planning corresponds to the technique of applying incremental delivery cycles to perform the work on an agile project?","Rolling wave planning","Adaptive planning",Incorrect,"Option C & D are terms not associated with Agile Project Management. Rolling wave planning is a form of progressive elaboration that focuses more on the near term plans and rolls into the long term as more information becomes available about the project requirements. Adaptive planning describes the technique of applying incremental delivery cycles to plan and perform the work on an agile project. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 17-25"
62,"During project execution, one of the key project team members needs to take an unexpected leave of absence. The project is ahead of schedule and under budget. Which two actions should the project manager take initially to resolve this problem? (choose two)","Check the project's responsibility assignment matrix (RAM) to determine which activities will be affected. Check the risk register for a prepared response to resource being suddenly unavailable","Check the project's responsibility assignment matrix (RAM) to determine which activities will be affected. Check the risk register for a prepared response to resource being suddenly unavailable",Correct,"1- Check the risk register for a prepared response to a resource being suddenly unavailable. 2- Check the project's responsibility assignment matrix (RAM) to determine which activities will be affected."
63,"To increase agile knowledge, traditional project managers of a company have been paired with scrum masters to observe them lead their teams. One observation is that many project decisions are the responsibility of the project team and the scrum master is more facilitative than authoritative. In fact, the scrum masters seem more focused on ensuring that the team can focus on the work, have a shared vision, and determine how they will accomplish their work. What leadership approach have the scrum masters adopted?","Servant leadership","Servant leadership",Correct,"Servant leadership is the practice of leading through service to the team, by focusing on understanding and addressing the needs and development of the team members in order to enable the highest possible team performance. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 17-25"
64,"Agile principles encourage the use of particularly decision models. Which of the following is FALSE about participative decision making?","In Participatory decision making everyone votes on the decision, and no decision can be implemented without a unanimous vote","In Participatory decision making everyone votes on the decision, and no decision can be implemented without a unanimous vote",Correct,"in consensus decision making everyone votes on the decision, and no decision can be implemented without a unanimous vote. In participatory decision making, team members participate in the decision process, and the decision is made by a preponderance of the vote."
65,"How is risk managed in Agile?","Risk is monitored & audited on an ongoing basis throughout each iteration & exposed during iteration planning, execution, review & retrospective","Risk is monitored & audited on an ongoing basis throughout each iteration & exposed during iteration planning, execution, review & retrospective",Correct,"Risk is assessed during iteration planning & audited at retrospective meetings, while burndown charts & stand-up meetings expose any ongoing risks to the team."
66,"During the project, the product owner knows from the sponsor that a major component, which is already 20 percent completed, is not needed anymore for the users. The component was part of the approved scope. As a product owner what should you do next?","Directly tell the team to stop developing it","Discuss for a formal approval from the sponsor to discontinue developing it",Incorrect,"This component was approved to be in the product backlog and moved to a sprint where team is already working on it. It is better to have formal approval from the sponsor to cancel or discontinue working with this component."
67,"Team is finding hard to understand one of the acceptance tests written on story cards. What is the next BEST step?","Discuss within the team","Discuss with the customer",Incorrect,"Customer is part of the development team, and the team should feel free to discuss such issues with customers."
68,"You are the Scrum master and having a conversation with one business stakeholders Joy, Joy asked, how do business people interact with development team? For instance, business people only understand the business benefit of possible feature where the development team speaks about technology, what brings both of them on the same page? You said:","The product owner is responsible to break the business requirements into engineering tasks which team can understand","The Product Backlog is understood by Business as well as by the team",Incorrect,"Product Backlog is a Common Denominator between Product Owner and Team both understand it well, the team makes engineering tasks based on the Product Backlog on their own."
69,"A set of related user stories that may be combined together and treated as a single entity for either estimating or release planning is referred to as:","Epic","Theme",Incorrect,"It's a definition of theme."
70,"You are the scrum master and you notice that over the last 6 iterations, the number escaped defects has gradually increased. Yet the numbers are not alarming, but the trend is not favourable. What should you do first?","Do an analysis of the development process","Bring the discovery to the attention of the team",Incorrect,"All 4 options are not bad, and the Scrum Master may find it useful to take steps. However, the question asks what should be done first. The first responsibility is to share this information with the team and let the team own it."
71,"An agile practitioner needs to track the work completed by the team over time. How might the agile practitioner accomplish this task?","Calculate the team's velocity","Calculate the team's velocity",Correct,"Velocity is perhaps the most common metric and is used to determine the team's capacity over time. It is often used to compare actual completed work to estimated work. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 61,64"
