QNo,Question,Correct Answer,Selected Answer,Feedback
16,16. Project manager communicates to stakeholder that the project charter was approved. The project manager is working on the project management plan and receives an email from an environmental organization asking for the objectives and start date of the project. What should the project manager do to address the situation?,,Respond to the email with the requested information.,"Since the project in the planning phase and the environmental organization did not identified before ,the project manager should first Conduct a stakeholder analysis to learn about their Major requirements, expectations, the potential for influencing project outcomes and communicate to stakeholders accordingly."
17,"17. You are leading a software development project, which requires knowledge of several programming languages. During project execution, one of the developers has been pulled out of the project by her functional manager. The manager provided you with another developer instead. What should you do first?",,Provide the new developer with an ability test,"An ability test would provide an assessment of the new developer's existing competencies in order to determine what, if any, gaps in skill set exist and how they might be addressed."
18,18. You are always struggling with resource supply for your project as they are shared across various. Who should you escalate this issue to?,,The procurement manager,"Shared resources are usually administered by the PMO. Note that portfolio management (not listed as an option) is responsible to ensure resource supply in an organization, therefore, will also prioritize and allocate (plan) overall resources.[PMBOK 6th edition, Page 48]"
19,19. The business is anxious to get a portion of the project’s creations out into the marketplace to get end user feedback and impressions before the entire product is finished. What must the project team establish for their release to end users?,,The minimal viable product,(Minimum Viable Product) The smallest collection of features that can be included in a product for customers to consider it functional.
20,20. A project manager is starting a new project and has identified an opportunity to use the iterative tools. One of the senior managers is concerned about this modified framework as it new to the company. What should the project manager do first?,,Organize individual’s sessions with the stakeholders to build awareness and trust in the new framework.,Organize individual sessions with the stakeholders to build awareness and trust in the new framework.
21,21. A company is initiating a project to enhance one of its existing products. All of its products are developed internally. What should the project manager do?,,Review the lessons learned from the previous project,"As mentioned in the question (initiating a project) in the initiating phase, the project manager should review the lessons learned from the previous project."
22,"22. A project team is currently building a warehouse management system. Due to the complexity of the project and ambiguous requirements, the team decided to adopt an agile management approach. If a higher rate of management can help achieve this objective?",,Frequent retrospective and selecting improvements,"Deferring the development until the design is complete is a waterfall approach. Using a kanban board can help managing the work but frequent retrospectives can really facilitate process improvement by allowing the team to brainstorm on what went well and what went wrong. [Agile Practice Guide, 1st edition, Page 32]"
23,23. You are helping a software development team transition from traditional to agile approaches. You tell the team that the single most important attribute of any product or feature is:,,The value customers associate with that product or feature.,"A successful project, product, or feature is one that delivers value to the customer. Customers usually do not care how teams develop products, however, they do care if the product delivers value to them or not. [Agile Practice Guide, 1st edition, Page 4]"
24,"24. A skilled project manager should have the necessary expertise to identify appropriate project management approaches (traditional vs. Agile) and tailor the tools, techniques, and methods for each project. What are these skills called?",,Technical project management skills,"This is an example of technical project management skills. [PMBOK®? Guide, 6th edition, Page 58]"
25,"25. During project execution, the client provided updated requirements, which apparently will only require a minor adjustment to the work breakdown structure (WBS). What should you do first?",,Submit a change request to update the scope baseline,The WBS is a component of the scope baseline. An approved change request is required to update any of the project baselines.
26,26. The technology market is very competitive and getting its product out to market quickly is one of the critical factors for the success of a ethnology start-up. An agile team launches the product with minimal features and plans to learn from the early adopters’ feedback. What agile tool or technique is the team embracing in this situation?,,Minimum viable product (MVP),"Minimal viable product (MVP) is a technique that allows the team to create a new product with minimal features but in a sufficient manner to be able to share with early adopters to collect relevant data, and to learn from it. Agile Practice Guide - First Edition, Page(s) 23"
27,"27. A project manager is starting a project using a hybrid approach. The customer decided on a major change for the project design. This change was approved. The software team leader who is supposed to develop the software refuse to commit to delivery dates, claiming that they work using an agile approach and cannot commit to the final delivery date. The hardware team depends on this software to develop their part of the product. As a project manager, what should you do?",,Update the risk register with risk and monitor it according to the risk management plan.,"As mentioned in the question (using a hybrid approach) .. Hybrid approach is a combination of predictive, iterative, incremental, and/or agile. The project manager should ask the software team leader to use a predictive approach and commit to the delivery date. And can follow agile to develop the hardware."
28,"28. During the retrospective ceremony, the agile team is talking about the product owner’s expectations not being met. What should the project manager have done at the beginning of the project?",,Communicated project vision and spring goals clearly to the team.,Communicated project vision and sprint goals clearly to the team.
29,"29. During the implementation phase of a project, a new regulation affects the project, and a critical states meeting discussing the scope changes is required. The project manager discovers that a key stakeholder cannot attend the scheduled meeting what should the project manager do?",,Meet with the stakeholder  prior to the meeting to obtain their opinion,The best action the PM should meet with the stakeholder prior to the meeting to obtain their opinion.
30,30. A project manager is acting as a scrum master in a hybrid project and is dealing with a conflict between team members. What strategy should be used to handle this conflict?,,Place conflicts into categories: structural and interpersonal,"Conflict may have both positive and negative effects on a team. It can help the team operate better by exploring issues more fully, but it can lead to emotional problems that damage communication. so, the correct answer is: Sort conflicts into two groups: positive and negative."
31,31. A project manager is leading a virtual team that is geographically dispersed. What should the project manager do to avoid uncertainty in the project due to different cultures?,,Gather relevant cultural data and engage members in discussions covering their work ethics.,Gather relevant cultural data and engage members in discussions covering their work ethics.
32,32. A government agency has recently introduced new standards that may significantly impact the project. The deliverables must be changed to align with the new quality standards. What should the project manager do?,,Evaluate the impact the new regulations will have on the project and submit a change request,The project manager should first evaluate the impact the new regulations will have on the project and then submit a change request to CCB to take approval to update the quality management plan.
33,33. The project is approaching the end. Several tasks are now practically complete and ready for handover to the client. How should the project manager proceed?,,Ask the client to verify and accept the tasks that have been completed,Ask the client to verify and accept the tasks that have been completed. Option (Close out the project tasks that have been completed) Not correct because the tasks should be accepted first by the customer then close out.
34,34. A project manager has a team of shared resources from other projects who are working on a client project. Three days before the project is due. The team informs the project manager that the project will be delayed because a component was not delivered on time competing priorities of the shared resources are delaying delivery of the component. What should the project manger have done to prevent this delay from happening?,,Maintained constant communication with the stakeholders of the other projects,Maintained constant communication with the stakeholders of the other projects.
35,35. A team is ready to start working on a project with a customer who was very difficult to work with in the past because the customer was unable to describe exactly what they wanted. What approach should the project manager take to remove this impediment?,,Work with the product owner to define the minimum viable products(s),Work with the product owner to define the minimum viable product(s).
36,36. During which period did the team complete no story points at all?,,B,"Area B represents approximately the next 2 days of the iteration. The exact number of days in this area is not important. What important is that the curve of the story points remaining to be completed is at, meaning the team did not complete any work at all. Finding the reason for why this occurred may help the team improve the process going forward."
37,"37. You have been appointed a project manager within an information systems organization. You are not aware of the organization’s policies and procedures. If you want to know more about the organization’s general issues management procedures, which of the following should you review?",,Organizational process assets (OPA),"Organizational process assets are the plans, processes, policies, procedures, and knowledge bases specific to and used by the performing organization. They include any artifact, practice, or knowledge from any or all of the organizations involved in the project that can be used to perform or govern the project. The process assets also include the organization’s knowledge bases such as lessons learned and historical information."
38,"38. A project manager liked to hold meetings on a weekly basis with his team members. These meetings resembled brainstorming sessions, where ideas were generated regarding existing risks and project issues. The project manager never struck down any idea and, instead, attempted to foster an environment where creativity, innovation, and sharing of ideas were encouraged. What type of leadership style does this project manager use?",,Transformational,"Transformational is a form of leadership style where the leader encourages the ideas of others, innovation, and creativity."
39,"39. Within a predictive life cycle, which of the following serves as the basis for estimating costs?",,WBS,"The WBS serves as the basis for estimating costs. It is an input to the Estimate Costs process through the scope baseline, which is part of the project management plan. It contains all the project deliverables and the control accounts associated with work package elements."
40,40. Which of the following describes the spectrum of the Conscientiousness domain included in the Big Five personality assessment?,,Efficient versus careless,"The Five-Factor Model, also known as the Big Five personality traits, is a personality survey that identifies five broad dimensions used to describe an individual’s personality. The five factors are openness to experience, conscientiousness, extraversion, agreeableness, and neuroticism. The conscientiousness domain measures where individuals fall on the spectrum of efficient versus careless."
41,"41. As project manager , you decide to build a prototype. What value do prototypes provide?",,Provide customers with a preview of the product,Prototypes allow for early feedback on the requirements for further refinement and clarification. They are a technique used as part of the Collect Requirements process.
42,42. You are in the process of facilitating a working session with the project team to decompose the project deliverables into smaller chunks of work. What process are you carrying out?,,Create WBS,"You are carrying out the Create WBS process. The purpose of the process is to subdivide the project deliverables and project work into smaller, more manageable components."
43,"43. A team crowds around a board that contains cards categorized in the following way: to do, doing, and done. As team member capacity opens, they grab a card from the “to do” category and begin work. The team focuses on getting work done versus starting new work. What type of Agile approach is the team using?",,Kanban,"Kanban is an agile approach that is often used in manufacturing projects but also makes a presence in the information technology field. Using Kanban, the work is balanced against available resources or available capacity for work. It’s a pull-based concept where work progresses to the next step only when resources are available."
44,"44. Activity A has a probability of 10 percent and an impact of $4,000. What is the expected monetary value of Activity A?",,400,"The formula for calculating expected monetary value is probability times impact. Plug in the values to get the following: 10% × $4,000 = $400."
45,"45. You are in the Planning stage of the project and have just kicked off activities associated with the Determine Budget process. In addition to the cost baseline, what is a likely output of this activity?",,Cost management plan,"The Determine Budget process yields the cost baseline, project funding requirements, and updates to project documents. The project funding requirements represent the total funding requirements and periodic funding requirements of the project."
46,"46. Your organization is experiencing a shake-up at the top levels of management. Your project team has expressed concerns that their project might be canceled because of the changes going on at the top. Thankfully, the new management team has decided to continue with the project. Before the shake-up happened, you were in the Monitoring and Controlling process group, and your next step was to check for correct work results to make certain they comply with the standards set out in the quality management plan. One of the results you’ve inspected measures 70 miles per hour. The quality management plan outlined standards between 65 and 75 miles per hour. Which of the following does this describe?",,Statistical sampling,The quality management plan may describe measurements that fall within a specified range. These are called tolerable results.
47,"47. The stakeholder approaches the project manager to report that the schedule must be adjusted to finish one week earlier than originally planned. If a predictive approach is used to manage the project, what would be the preferred approach for the project manager to take in order to make this happen?",,Crash the schedule,"The project manager has told the scheduler that the schedule must be compressed by one week. That means that we will use one of two schedule compression techniques: crashing or fast-tracking, both of which are options. When possible, select the lowest-cost option first, which would be fast-tracking."
48,"48. Aseel is a project manager tasked with managing an infrastructure project that will consolidate five data centers into one. She has used a waterfall approach to carry out initial planning activities and is executing the work using an Agile-based approach. Recently, the sponsor has asked Aseel to provide a forecasted date of project completion. To date, the team has managed to complete an average of 60 story points per iteration, and there are 420 remaining user story points left to complete. How many iterations will it take to complete the project work?",,7 iterations,"If the team maintains a velocity of 60 story points per iteration, it would take seven iterations to complete the remaining 420 story points."
49,"49. Within predictive life cycles, this term is used for both costs and schedules to establish what you’ll measure against later in the Executing and Monitoring and Controlling processes.",,Variance,Cost baselines and schedule baselines are used to measure performance in the Executing and Monitoring and Controlling processes.
50,"50. What is the difference between inspection and prevention, in regard to quality?",,"Inspection keeps errors from reaching the customer, while prevention prevents errors from occurring.","The correct answer is that inspection keeps errors from reaching the customer, while prevention prevents errors from occurring."
51,51. A predictive life cycle approach is characterized by which of the following? (Select two.),,"Scope, time, and cost are determined in the early phases of the life cycle. | Change is constrained as much as possible.","A highly predictive (waterfall) life cycle typically has detailed specifications, with requirements defined up front before work begins. A highly adaptive life cycle (Agile) has requirements that are progressively elaborated on, and delivery occurs frequently. Change within a predictive life cycle is constrained, while adaptive encourages change to be incorporated in real time during delivery."
52,52. Aseel is a project manager tasked with managing an infrastructure project that will consolidate five data centers into one. She has used a waterfall approach to carry out initial planning activities and is executing the work using an Agile-based approach. She shows the team how much work remains to be completed during their current iteration and the forecast of work to be completed for the remaining iterations based on existing velocity. What is Aseel showing them?,,Burndown chart,"A burndown chart is used to track the remaining work to be completed against the backlog. It shows work completed to date by iteration and the forecasted rate at which the team will complete the remaining work over the remaining iterations, based on velocity."
53,"53. Within Agile approaches, how are requirements documented?",,In the backlog,Requirements are documented through user stories that make up the backlog. The user stories are then prioritized and refined.
54,54. You are developing the cost baseline and the project budget. You know that all of the following are true regarding these two elements except for which one?,,The project budget includes management reserves.,The project budget includes the cost baseline. Option C has it backward.
55,"55. Astral Bank is known for providing its customers with superior online services through its use of cutting-edge technology. The latest project includes the ability for customers to electronically sign for loans. Currently, the project is in its third week of executing the project work, and the project manager noticed that a key resource has been over-allocated. What technique is the project manager likely to use to resolve this issue?",,Resource leveling,Resource leveling involves leveling out resource usage to resolve over-allocation of resources and/or to level out the peaks and valleys of resource usage over time.
56,56. What is the role of a servant leader?,,"To facilitate the Agile events, including daily stand-up","According to the Agile Practice Guide, the role of a servant leader is to facilitate the team’s discovery and definition of Agile."
57,"57. Aseel is an enterprise project manager for Cups on Fire. To date, she has identified risks, analyzed them, and developed risk responses for her project. What activity is she likely to carry out next?",,Develop a risk management strategy,"Based on the activities Aseel has already carried out, the next logical step would be to begin implementing the risk responses based on plans documented in the risk register. While some risk responses are implemented when risk triggers occur, others are implemented immediately to avoid or exploit a risk."
58,"58. You are the project manager for Kitchens Plus Inc. The latest project involves the development of an automatic dicer with unique industry features. The project uses a predictive life cycle, and you are analyzing schedule performance. Based on the information provided by the scheduling team, the current schedule performance index (SPI) is at 1.10, while the cost performance index (CPI) is at 0.80. What might be a good strategy for balancing out performance between the schedule and budget?",,Level out resource usage to further spread out cost over time,"Based on the performance indexes provided, the project is 10 percent ahead of schedule but over budget. Leveling out resource usage is a strategy used to spread out costs over time. This helps in reducing sudden spikes in spending, although it may lead to lengthening the schedule."
59,59. This earned value management calculation is the projected or estimated cost performance that the remaining work of the project must achieve to meet the BAC or EAC.,,Forecast,The to-complete performance index (TCPI) is the projected cost performance the remaining work of the project must achieve in order to meet the BAC or EAC.
60,"60. Igor is a software developer for a large IT consulting company. Mary, the team lead, has just informed him that the project manager has compressed the schedule by two weeks, and as a result, she is requiring the team to work weekends to accommodate the release. The team has a high degree of respect for the project manager, and they happily comply. Which of the following is a type of power that is based on the respect or admiration that others hold for an individual?",,Reward,"There are five types of power that a project manager can utilize. These include formal, reward, penalty, expert, and referent. The question asks for the one that is based on the respect or admiration that others hold for an individual, which is referent power."
61,"61. Your customer has decided that you cannot go forward with the project you’re managing without a change to the agreed-upon WBS. A contract amendment is agreed on and signed, the change control system processes are followed, and you modify the appropriate planning documents to reflect the change. As a result of the approved change, substantial updates to the project costs and the project schedule occur as well. Which of the following is not true regarding this situation?",,The PMB is determined using EVM.,"The performance measurement baseline consists of the schedule, scope, and cost baseline. The cost baseline does not include management reserves; therefore, the PMB does not include them."
62,"62. Mido is the project manager of a project that has been described as revolutionizing the mobile fitness tracking industry. After a few preliminary strategy sessions, he pulls together the core team and notes that they will be defining deliverables early in the development life cycle and progressively elaborating them as the project progresses. What development life cycle is Mido following on the project?",,Hybrid,"There are four development life cycles: predictive, iterative, incremental, and hybrid. The iterative development life cycle defines project deliverables early in the development life cycle and progressively elaborates them as the project or life cycle progresses."
63,"63. A project manager is providing guidance to the project team on the steps required to generate the work breakdown structure (WBS). She lists the following: 1) identify the deliverables and work, 2) organize the WBS, 3) decompose the WBS components into lower-level components, and 4) assign identification codes. What is the fifth step?",,Decomposing the work packages into activities,"According to the PMBOK® Guide, decomposition of the total project work into work packages involves the following five steps: 1) identifying and analyzing the deliverables, 2) structuring and organizing the WBS, 3) decomposing the WBS into lower-level components, 4) developing and assigning the identification codes, and 5) verifying the degree of decomposition of the deliverables."
64,"64. Mido and Aseel are two executives of Widgets for Life, a company providing the latest cool lifestyle gadgets. They have recently selected the next big project and have assigned you as the project manager. This activity is associated with what process group?",,Initiating,"The scenario describes the early stages of a project, where the project has just been selected and a project manager has been assigned. This occurs in the Initiating process group."
65,"65. The project processes are iterative, are results oriented, and interact with each other. Shewhart and Deming developed a concept that reflects this idea. Which of the following is the name of this cycle?",,Plan-Do-Check-Act,"The Plan-Do-Check-Act cycle was developed by Shewhart and later refined by Deming. It reflects the iterative, results-oriented, and interactive nature of the project process groups."
66,66. Your customer has requested a specific color for the product your project is producing. This is an example of which of the following?,,Product description,Requirements are the specifications of the deliverables and tell you how you know the deliverable was completed successfully.
67,67. Which of the following motivational theories states that the expectation of a positive outcome drives motivation?,,Expectancy Theory,"The Expectancy Theory, proposed by Victor Vroom, states that the expectation of a positive outcome drives motivation. In other words, people will behave in certain ways if they think there will be good rewards for doing so."
68,"68. Aseel is a project manager working for Dancing Apron, a company that combines cooking with simple children’s cooking recipes and music. Her latest project involves the release of the company’s first digital product that parents will be able to purchase and download online. While overseeing the project, Aseel notices that recent stakeholder engagement levels have dropped significantly, and they’ve begun to disagree during status meetings. What key input can she use to help her deal with the situation?",,Work performance data,"The question is asking for an input that can be used to address the engagement level of stakeholders. The scenario involves the Monitor Stakeholder Engagement process. Interpersonal and team skills and decision-making are tools and techniques and therefore not the correct choices. Since the project management plan contains the stakeholder engagement plan, which documents the strategy for engagement stakeholders, this is the best option. Other useful components of the project management plan also include the communications management plan and resource management plan."
69,"69. Henry recently joined a rapidly growing technology startup company as a project manager. The approach to managing projects is different from the compliance-driven projects he is accustomed to managing in the past. He inherits a project that contains a great deal of uncertainty, with minimal requirements identified to date. To remedy this, he gathers the team and informs them that they will focus on nailing down the requirements before execution of work can continue. He is met with a high degree of resistance. What is the likely reason for this pushback from the team?",,They are accustomed to using a predictive approach to managing projects.,"Henry is attempting to manage the project using a predictive approach, which aims to identify the majority of requirements early on in the project’s life cycle. A technology startup environment, coupled with a high-uncertainty project, is likely to lean toward an adaptive approach to managing projects."
70,70. A product manager meets with the team to apprise them of changes to how the upcoming project will be managed. She notes that the focus will now shift to producing deliverables through iterations and that iterative scheduling with a backlog will be used to account for the uncertainty in requirements. What is the value of this approach?,,It delivers value incrementally.,"The product manager is using an incremental approach to carry out the project. This method generates incremental value to the customer through its frequent delivery cadence, short and frequent feedback loops, and ability to reprioritize and adapt based on changing or clarified requirements."
71,71. The project manager facilitates the implementation of approved changes by following the documented change control process. Which of the following is a valid tool or technique to assist the project manager in performing this activity?,,Change log,"The project manager is currently performing the Direct and Manage Project Work process. Of the options provided, project management information system (PMIS) is the only tool or technique listed. The change log and approved change requests are inputs to the process, while work performance data is an output."
72,"72. Ken is a product owner for a new product and is integrating smart technology into refrigerators. The latest project aimed to incorporate new features into the product. These features involved the use of facial technology to recognize members of the household as they walked by, displaying tailored recommendations on a panel within the refrigerator, such as favorite recipes or encouraging comments. Recently, Ken received the news that a competitor beat his company to market, and a window was missed. The project was cancelled. The competitor had recently showcased its technology in a key annual appliance conference, but Ken was not able to attend. What did Ken fail to do?",,Incorporate a prototype into the project so that he may have demonstrated the product at the same convention.,"It is important to monitor ongoing changes to the external business environment that may impact current or future projects. This is an element of enterprise environmental factors, a key input to many project management activities."
73,73. You are a project manager for Fly Me to Miami travel services. You are in the process of documenting and distributing project information. You know all of the following statements are true regarding information exchange except for which one?,,The receiver is responsible for understanding the information correctly.,"Both senders and receivers transmit information they receive through their knowledge of the subject, cultural influences, language, emotions, attitudes, and geographic locations. Senders should keep this in mind when preparing their messages. Senders are responsible for communicating the information clearly and concisely, and receivers are responsible for understanding the information correctly."
74,"74. Your project selection committee is considering four projects. Project A’s NPV is positive, it has an IRR of 14 percent, and the payback period is 21 months. Project B’s NPV is negative, it has an IRR of 9 percent, and the payback period is 16 months. Project C’s NPV is positive, it has an IRR of 16 percent, and the payback period is 18 months. Project D’s NPV is negative, it has an IRR of 16 percent, and the payback period is 13 months. Which project should you choose?",,Project C,"Payback period is the least precise of all cash flow calculations, so you shouldn’t give this a lot of consideration if NPV is positive and IRR is greater than 0. Since Project B and Project D both have a negative NPV, they shouldn’t be chosen. Project C has a higher IRR value than Project A and should be the project you choose, even though its payback period is longer than that of Project A."
75,75. Which of the following best describes the focus of Agile teams?,,To deliver business value often,"Agile teams tend to place greater importance on delivering business value often. For this reason, emphasis is placed on frequent feedback, frequent delivery, and remaining adaptable to changing or evolving requirements."
76,76. Which project management document provides the project manager with the authority to apply organizational resources to project activities?,,Resource management plan,The project charter not only authorizes the existence of a project but also provides the project manager with authority to begin applying organizational resources to project activities.
77,77. A project manager looking to increase cross-team collaboration and create a more cooperative working environment is likely to do what?,,Hold team-building activities,"Team-building activities increase team collaboration and social relationships, as well as foster a cooperative working environment. A team benefits from continuous team-building activities throughout the life of the project; it is particularly important during the early stages of a project, when relationships among team members are not yet developed."
78,78. You’ve derived cost estimates and allocated them to the activities of your project. You know that these estimates will be used to measure cost variances and performance throughout the remaining life of the project. The cost baseline has been established and becomes the expected cost of the project. Which process did you perform to arrive at the cost baseline?,,Develop Costs,The Determine Budget process establishes the cost baseline for the project and is an output of this process.
79,"79. Immediately after a morning planning meeting, the project manager and the development lead hold an impromptu discussion about the schedule for a project they are working on. During their discussion they uncover that each thought a set of deliverables was going to be completed at different points in the schedule. In light of this new revelation, they agree to update the schedule and share the information with the rest of the team. What is the best type of communication to use when dealing with complex issues, such as this one?",,Formal written,"All of the options listed are types of communication. When dealing with complex issues, it is best to use a written format that is formal. Formal written is also the best choice when working with other cultures, communicating over long distances, updating a plan, or dealing with legal matters."
80,"80. A project manager leading a multiphase construction project is beginning to perform the risk management processes. Because of the project’s complexity and the amount of money invested in the project, the project sponsor stressed the critical nature of managing risks. The project manager took this advice seriously and brought together a risk management team. Alongside the risk management team, the project manager worked on the development of the risk management plan. Which of the following is not likely to be covered within the risk management plan?",,When and how often to communicate with stakeholders throughout the project,"While the risk management plan covers the details of risk-related reports and formats, it does not cover all of the communication requirements of project stakeholders. This is addressed within the communications management plan."
81,"81. The project manager of an accounting firm has team members located across the globe for his latest high-tech project. The project will make use of cutting-edge technology that is not widely used yet. In this scenario, what is the key benefit to having a virtual team?",,It allows for multiple cultures to collaborate.,"While several benefits to virtual teams are included within the various options, this particular project requires a specialized skill set. Since virtual teams widen the resource pool available, with team members potentially located across the globe, it allows for this unique resource need to be met. Without the use of virtual teams, the project may not have been possible, or it may have been very costly due to relocating team members or frequent travel."
82,"82. You are using a hybrid life-cycle approach to manage your project and are creating the cost management plan. You have talked with your project sponsor and CFO and will document that you are rounding to the nearest thousand and will be using weeks to estimate resources. What two elements of the plan does this describe, respectively?",,Level of accuracy and units of measure,"Level of accuracy describes your rounding precision, and units of measure describes how you will measure resources, for example, days, weeks, months."
83,"83. Stakeholders in some industries prefer to deal with programmers and system analysts directly, bypassing project managers. This complicates managing resources on projects How should a project manager solve this issue?",,Promote the adoption of the communications management plan with the project team.,This is a communication problem. So the project manager should promote the adoption of the communications management plan with the project team.
84,"84. An agile team has been struggling to keep up with the planned pace, which is frequently resulting in sprint failures what should the project manager do to help avoid this situation in the future?",,Review the velocity of the team over the last several sprints and adjust the plan accordingly,Review the velocity of the team over the last several sprints and adjust the plan accordingly.
85,85. A project manager is leading an in-house company project in its very early stages. This current project is similar to another project that ended a year ago. What should the project manager do to analyse the involved stakeholders?,,Use lessons learned from the previous project as a guide for the current project’s stakeholders register,"Use lessons learned from the previous project as a guide for the current project's stakeholder register. Because he can find information about the preferences, actions, and involvement of stakeholders."
86,86. If the project manager wants to ensure that the work carried out and the product being created do not deviate from the prescribed business value. What should the project manager pay special attention to in order to achieve this goal?,,Monitoring and updating the benefits realization plan,"As mentioned in the question (business value) The project manager should pay special attention to Monitoring and updating the benefits realization plan to ensure that the work carried out and the product being created do not deviate from the prescribed business value. BENEFITS REALIZATION PLAN: A document outlining the activities necessary for achieving the planned benefits. It identifies a timeline and the tools and resources necessary to ensure the benefits are fully realized over time. It defines Benefits and associated assumptions, and how each benefit will be achieved."
