Question Number,Question Text,Selected Answer,Correct Answer,Correct/Incorrect,Feedback
22,"In a typical business complex and mid-sized agile project, what does the team attempt to develop every Sprint?","A Potentially Releasable Product Increment","A Potentially Releasable Product Increment",Correct,"The output of every Sprint is called a Potentially Releasable Product Increment. It is the sum of the Product Backlog Items completed during a Sprint. Delivering Potentially Releasable Product each Sprint is fundamental to the Scrum since in agile as work is divided into simple pieces, it can be finished in a short iteration. The product backlog is a living document that has anything and everything about project work. It is the ordered list of all the work presented in story form for a team Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 101"
23,"The product owner of an agile project has the responsibility of grooming the product backlog. Grooming involves prioritizing and re-prioritizing user stories on a regular basis. As an agile best practice, which of the following criteria are most important for the owner to use when grooming the product backlog?","Customer value and personas","Customer value and risk",Incorrect,"The two most important criteria to consider when the product owner is grooming the product backlog is the value of the user story and the risk involved in the work required to complete the user story. High-value user stories are always considered high priority. High-risk user stories are typically prioritized so that the risk of project failure can be dealt with or determined early in the project before significant costs and resources have been devoted. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 52-53"
24,"A scrum team that has been working on an agile project, is arguing over the story points in the sprint meeting planning. The product owner is pushing the team to complete 170 story points of user stories in the next sprint whereas the average velocity of the development team is 150 story points per sprint. Who will make the final decision to fix the number of story points to be completed in a sprint?","The development teams","The development teams",Correct,"In the scrum, before making any commitment about the completion of user stories, development team discusses and then decides how many story points they can complete in the current sprint. It is the development team that is going to work on the product and know their capability and pace, therefore, the development team should make the final decision to fix the number of story points to be completed in a sprint."
25,"Which of the following is not a feature of an Agile team?","Team members are 100% dedicated","Each team member has a specialty",Incorrect,"An agile team is a cross-functional team. They are preferred to be a generalist. A cross-functional team is one with a variety of skills, abilities and experience, so that they can develop their scope (stories, features, ""product backlog items"", whatever) by themselves, without help from others."
26,"On the completion of the first three iterations, an agile team determined that 344 story points are required to complete the remaining project. The average team velocity in the first three iterations was 50 story points. What will be the number of iterations required for the team to complete the project?","7 Iterations","7 Iterations",Correct,"The velocity of the team is used to track the progress of the project and measured in terms of how many user stories it completes in one iteration. The average velocity of the team is measured based on its performance in the first few iterations .In this question, the average team velocity in the first three iterations was 50 story points. Now, 344 story points are left to complete the project. The number of iterations required to complete the project is calculated as the number of story points left divided by the average team velocity i.e. 344/50 in this case. It calculates at 6.88. In the case of iterations, we need to consider the whole number next to the result. Therefore, there is a need for 7 more iterations to complete the project."
27,"A team member is constantly spending on items that are not in the sprint backlog. As a Scrum Master what should you do?","Talk to the member in person.","Talk to the member in person.",Correct,"As a first step, Scrum Master should talk to the member in person to understand the situation better. Only if needed, the issue may be further discussed with the team."
28,"Florian is a stakeholder in STC company. He has recently learned that the team will use an agile framework in the current project. In a planning meeting, Florian tells the team members that they are not doing formal documentation in this project as they were doing in the previous projects. How will the team members reply to his statement?","In agile, documentation is done for the clear work item only","In agile Methodology, The documentation is kept barely sufficient to fulfill regulatory requirement",Incorrect,"Agile Manifesto Value number 2 states ""Working software over comprehensive documentation"". In agile, creating the formal documentation with a detailed description of everything is considered a wastage of time. It does not mean that documentation is not necessary at all. It is necessary but it should be kept barely sufficient to fulfill regulatory requirements in an agile environment. Although for some safety-critical products, some additional documentation and conformance checks are recommended."
29,"The velocity of an 8-member Agile team over the past few sprints has been 36, 32, 40, 46, 38 and 48 story points. In the next 2-week Sprint, there are two public holidays planned. How many points must the team plan for?","32 story points","Whatever the team feel comfortable with",Incorrect,"The historical velocity is only a 'guideline' for future sprint planning – it is not a 'must' . The final decision on exactly how many points are picked up for the next Sprint rests with the team."
30,"One role of an agile practitioner is to promote the knowledge and execution of agile practices within an organization. Which of the following agile practitioners is responsible for the creation and maintenance of the product roadmap?","Product owner","Product owner",Correct,"The product owner is the voice of the customer and has the information and access required to define and prioritize development iterations, releases and ultimately a product roadmap. Once created the product owner is responsible for any changes required to the product roadmap and the individual releases that collectively form the roadmap. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 41"
31,"A team lead is currently demonstrating a potentially shippable product increment for project stakeholders. Which agile meeting is being conducted?","Iteration review meeting","Iteration review meeting",Correct,"At the end of each iteration, the project team demonstrates a potentially shippable product increment to project stakeholders during the iteration review meeting. These meetings may also be referred to as demonstrations or sprint reviews. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 55"
32,"At the sprint retrospective meeting, the team lead drew a fishbone diagram, wrote a problem at the head of the fish, and labeled the bones of the fish with categories. What should the team do next?","Brainstorm factors within each category","Brainstorm factors within each category",Correct,"After the problem is written at the head of the fish, and after the bones of the fish are labeled with categories, the next step is to brainstorm factors within each category. A Guide to the Project Management Body of Knowledge, (PMBOK® Guide) – Sixth Edition., 2017, Page(s), 293-294"
33,"What is the most important reason why Product Owner needs to be present in Sprint Planning meeting?","Decide team velocity based on historical performance","Provide clarification on requirements",Incorrect,"Providing details on requirements is the most important reason PO needs to attend Sprint Planning meeting. Other three tasks need to be performed by the team."
34,"Team has finished release planning meeting and agreed on condition of satisfaction, priority of backlog items, team velocity, etc. There are some large features that were not estimated, however team decided to split them closer to development. Few sprints have passed, but team has not been able to update release plan due to time constraints. During Sprint Planning, team decides to split one large feature into 4 smaller stories based on operational boundaries. Unfortunately, there is not enough capacity in the current iteration, so team can include only 2 of the 4 stories in this sprint. When team demonstrates the product increment during the sprint review meeting, the PO refuses to accept these two user stories that the team had marked as Done. What could have potentially gone wrong?","During Sprint planning meeting, condition of satisfaction or acceptance criteria may not have been discussed while splitting the user story.","During Sprint planning meeting, condition of satisfaction or acceptance criteria may not have been discussed while splitting the user story.",Correct,"Conditions-of-satisfactions are continuously iterated, They are discussed and agreed upon, both at the start of release planning and iteration planning. In the question above the most likely scenario for PO not accepting the stories during Demo is that condition of the satisfaction of each of the user story derived by splitting feature, would have not been discussed. Since not all the user stories that comprised the feature were part of sprint it is even more important that definition of done is discussed for each story and not rely on definition of done for the feature which was agreed during release planning meeting. Team can split features based on operational boundaries, Release plan should be periodically revisited and revised however that is not the reason for problem, The definition of done is orthogonal to user acceptance criteria (functional acceptance) for a feature. It is a comprehensive checklist of necessary, value-added activities that assert the quality of a feature and not the functionality of that feature/story."
35,"How does an agile team go about developing a schedule?","By estimating story points and making use of the team velocity","By estimating story points and making use of the team velocity",Correct,"The team estimates story points and applies the team velocity (the rate at which the team completes story points), and derives a schedule."
36,"What role Product Owner plays in the sprint planning meeting?","Product Owner grooms or maintains the Product Backlog and prioritized stories are used for sprint planning","Product Owner grooms or maintains the Product Backlog and prioritized stories are used for sprint planning",Correct,"B is the best choice of the 4. The Product Owner creates and maintains the backlog for the product, therefore, the Product Owner directs the team activities by prioritize items in the backlog based on the anticipated value of each item."
37,"In evaluating an agile project, which of the following metrics would you use to compare effectiveness of two agile team / projects?","Velocity","Return on investment",Incorrect,"Agile recommends making people accountable for customer outcomes. Velocity is good for release planning but not for comparing two teams. You may think that Return on Investment goes beyond the scope of the team but it is not, the product owner and the team have to work on generating maximum value not high velocity."
38,"An agile team finished coding for the current iteration. Which of the following is a continuous process improvement ceremony that the team will now attend?","Product demonstration meeting","Iteration retrospective meeting",Incorrect,"The iteration retrospective meeting is a formal ceremony used in agile. This event is held at the end of each iteration where lessons learned during the iteration are reviewed, and specific plans of action are implemented during the next iteration to prevent these issues from occurring again on the project. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 50-51"
39,"While working on a hybrid project, an agile practitioner is responsible to perform the duties of both the project scrum master and provide project performance reports periodically to the senior management. The project sponsor suggests the agile practitioner that track the velocity of each team member individually instead of tracking the team velocity to monitor the progress of the project. What would the agile practitioner do as per agile best practices?","Track and report only individual velocity to monitor the team performance","Track and report only team velocity to monitor the team performance",Incorrect,"Agile best practices prefer to track and report the velocity of the team rather than the individual's velocity for monitoring the project. But some agile teams track the velocity of each team member individually in terms of completed story points or ideal days. This is not a good approach as it can cause behavioral issues in the team and can work against the success of the project team."
40,"Which two actions should a project manager consider while launching a new virtual team? (choose two)","Verify if team member's own strengths and weaknesses as a virtual team leader to identify avoidable pitfalls","Establish in the beginning, bow progress will be monitored and the means for communicating progress. Verify if team members are on more than one team and cannot devote enough time to this team.",Incorrect,"1- Establish in the beginning, how progress will be monitored and the best means for communicating progress. 2- Verify if team members are on more than one team and cannot devote enough time to this team."
