Question Number,Question Text,Option A,Option B,Option C,Option D,Correct Answer,User Answer,Result,Feedback
11,"A Scrum team is preparing to begin work on a new product increment. What should the team do before starting to ensure they have a shared understanding of when work is considered complete?","Finalize the schedule for the sprint planning and stand-up meetings","Get approval from the product owner for all upcoming user stories","Establish a shared Definition of Done (DoD) that applies to all work","Assign developers to tasks based on their availability and expertise",C,C,1/1,"Establishing a clear Definition of Done provides alignment across the Scrum team and ensures consistency and quality in completed work."
12,"You're supporting a large Agile program consisting of multiple cross-functional teams. Each team is following Agile, but there are frequent delays due to miscommunication and lack of coordination between them. What should you do to improve alignment and collaboration across the teams?","Assign a project manager to supervise the work of all teams and consolidate communication","Instruct all teams to follow the same Agile framework and cadence for consistency","Identify inter-team coordination needs and establish a suitable structure such as a Scrum of Scrums","Consolidate all teams into one centralized team to eliminate coordination overhead",C,C,1/1,"Identify inter-team coordination needs and establish a suitable structure such as a Scrum of Scrums."
13,"A new stakeholder joins an agile project during its early stages and expresses confusion about the team's flexible approach, the lack of a detailed upfront plan, and the frequent changes in requirements. The stakeholder asks the agile project manager to explain how this approach still delivers value and maintains control over the project. What should the agile project manager do?","Explain that Agile emphasizes collaboration, responding to change, and delivering working solutions incrementally","Emphasize the importance of timeboxing and iterative delivery as tools for managing project scope and risk","Highlight that Agile frameworks avoid upfront planning because requirements always change","Share examples of past Agile projects that successfully handled changing requirements and produced value early",A,A,1/1,"Clarifying that Agile relies on collaboration, adaptability, and incremental delivery helps stakeholders understand how it maintains control while continuously delivering value."
14,"During an Agile project, the team receives regular feedback from customers that prompts adjustments to both the product direction and development process. The team responds by refining their backlog and adopting new techniques to better meet customer needs. What Agile behavior is the team demonstrating?","Building a shared team vision to avoid conflict","Maintaining consistent velocity across sprints","Completing work exactly as planned during iteration planning","Embracing change and adapting both process and product direction",D,D,1/1,"The team's actions reflect Agile values by embracing change and using feedback to evolve the product and process, ensuring alignment with customer needs."
15,"An Agile project manager observes that the team is consistently delivering high-quality work, but several members appear overworked and are regularly working late to meet sprint goals. At the same time, the client is extremely pleased with the velocity and wants to maintain the current pace. The team hasn't voiced any complaints, but their energy seems to be decreasing, and the burn-down chart suggests they're taking on more than they can sustain. What should the Agile project manager do?","Adjust the team's workload for the next sprint to create a more sustainable pace","Meet with both the team and the client to discuss balancing delivery expectations with team well-being","Acknowledge the client's satisfaction and continue with the current pace unless the team formally raises concerns","Have a private conversation with the team to assess If they feel overburdened or are facing hidden pressures",B,B,1/1,"Balancing stakeholder satisfaction and team welfare is essential in Agile leadership. Proactively aligning both sides protects long-term project success and supports a sustainable pace."
16,"You're leading a product development initiative with multiple stakeholders requesting various features. To manage expectations and provide clarity on when certain features may be delivered, the product owner wants to communicate high-level plans without committing to specific dates. What tool or artifact should the product owner use?","Sprint backlog","Product roadmap","Release burndown chart","Product increment",B,A,0/1,"The product roadmap is the most appropriate tool to communicate high-level product plans and expected feature deliveries without overcommitting to specific timelines."
17,"A project manager is analyzing factors that influence the cost and success of software development using the COCOMO model. The model indicates that people-related factors are dramatically more impactful than tools or processes. What conclusion does this support?","Process optimization is more valuable than individual skill","The right tools can compensate for skill gaps","Software costs are primarily driven by automation efficiency","People factors have greater influence on project success than tools or processes",D,D,1/1,"The COCOMO model validates the principle that people are the most critical component of a project's success, far outweighing tools and processes in influence."
18,"A new Agile project involves several departments with competing interests. The product backlog contains a long list of features, and each stakeholder group wants their items prioritized first. To avoid conflict and create alignment, the Agile project manager wants to involve everyone in a structured, collaborative prioritization process. What should the Agile project manager do?","Ask department heads to nominate a representative to rank features independently","Use MOSCOW prioritization to define which features are Must Have or Should Have","Facilitate a workshop using dot voting or the 100-point method to distribute prioritization input among stakeholders","Decide the priority order based on which features are least expensive to implement",C,C,1/1,"Structured, inclusive prioritization methods allow Agile teams to build consensus and deliver features that reflect the collective priorities of the business."
19,"During a planning session, two senior developers strongly disagree on which architecture to use for a new feature. The project manager encourages both to explain their reasoning, helps them evaluate trade-offs, and guides them toward a mutually agreeable solution. What skill is the project manager applying in this scenario?","Conflict Resolution","Active Listening","Facilitation","Negotiation",D,A,0/1,"By fostering constructive dialogue and guiding the team toward compromise, the project manager is applying negotiation skills to support collaboration and decision-making."
20,"During a sprint, the Agile project manager notices that team members are frequently interrupting each other to ask about the status of various tasks. Despite regular stand-ups, there is still confusion about which work items are blocked or nearing completion. The team currently does not use any visual workflow tools. What should the Agile project manager do?","Increase the length of the daily stand-up to allow for more detailed updates","Introduce a Kanban board to make workflow visible and facilitate continuous status awareness","Schedule twice-daily team check-ins to ensure information is regularly updated","Assign a team member to track task progress and send daily status emails",B,B,1/1,"Introduce a Kanban board to make workflow visible and facilitate continuous status awareness."
21,"At the beginning of a retrospective, the facilitator notices that team members seem distracted and hesitant to speak up. To ensure the session is productive, the facilitator introduces an activity where participants identify themselves as explorers, shoppers, vacationers, or prisoners. What stage of the retrospective is the facilitator conducting?","Generate insights","Gather data","Set the stage","Decide what to do",C,C,1/1,"The ""Set the Stage"" phase is essential for creating a safe, engaging environment that encourages full participation throughout the retrospective."
22,"A project manager wants to ensure that product development remains adaptive and feedback-driven throughout the sprint. The team updates information radiators regularly, conducts stand-ups, and manages retrospectives without direction from a central manager. What key Agile principle does this team best exemplify?","Self-organizing team taking ownership of development and delivery","Continuous deployment of working software to production","Strict adherence to sprint planning as defined by the product manager","Stakeholder-led prioritization of deliverables at the start of each sprint",A,A,1/1,"The team's independent coordination of activities, communication, and inspection reflects a core Agile value: self-organization for empowered and adaptive delivery."
23,"An Agile team has noticed increased cycle times and more work-in-progress than usual. They begin analyzing patterns in their metrics to determine if these changes indicate a deeper issue that could affect future performance. What type of metric analysis is the team using?","Variance analysis","Trend analysis","Lagging metric evaluation","Qualitative root cause analysis",B,B,1/1,"By using trend analysis, the team proactively monitors patterns that could signal future inefficiencies, enabling them to take corrective action before issues escalate."
24,"During a review meeting, a stakeholder suggests measuring progress by tracking task completion and hours logged. The team has been focused on delivering functional features regularly. The stakeholder wants reassurance that the team is making good progress. What should the agile project manager do?","Explain that in Agile, the primary measure of progress is working software that delivers value-not hours worked, or documents produced","Recommend tracking team effort by completed checklists and documentation milestones","Shift the team's focus to meeting sprint burn-down targets, even if features aren't fully functional","Suggest creating a detailed Gantt chart to show percentage completion of planned activities",A,A,1/1,"Working software is the clearest indicator of progress in Agile because it demonstrates real value the customer."
25,"During a sprint, a developer on an XP team realizes that their code may introduce a bug, but they hesitate to speak up, worried it might reflect poorly on their performance. What XP core value should the team reinforce to encourage transparency and collaboration?","Courage","Simplicity","Feedback","Communication",A,A,1/1,"Emphasizing courage helps create a culture where team members feel safe to raise concerns, leading to better collaboration and fewer hidden problems."
26,"A team member suggests that the developers work independently from the business stakeholders to avoid distractions and reduce coordination time. They propose using documentation and email updates to stay aligned instead of daily interactions. What should the agile project manager do?","Approve the suggestion and allow the team to work without daily contact to improve focus","Recommend shifting communication to weekly status reports to minimize meeting overhead","Explain that Agile encourages daily collaboration between business people and developers to improve alignment and speed up feedback","Instruct the developers to communicate through a designated liaison who can summarize project changes at the end of each sprint",C,C,1/1,"Agile promotes daily collaboration between business stakeholders and developers to ensure fast fe strong alignment, and continuous value delivery."
27,"During a retrospective, a stakeholder expresses concern about the slow pace of the last sprint. Instead of reacting defensively, the project manager thanks them for the feedback, acknowledges the issue, and encourages a discussion on possible improvements. Which behavior zone does this situation exemplify?","Passive Compliance Zone","Green Zone","Conflict Avoidance Zone","Constructive Challenge Zone",B,A,0/1,"The project manager's behavior shows accountability, openness, and collaboration-hallmarks of the Green Zone."
28,"A stakeholder questions why the team keeps adjusting priorities and deliverables every few weeks instead of sticking to the original roadmap. They are concerned that this signals poor planning. What should the agile project manager do?","Explain that Agile discourages planning to avoid rework caused by unexpected changes","Clarify that Agile recognizes software projects have high rates of change and therefore puts more effort into responding to change than rigidly following a fixed plan","Assure the stakeholder that all future work will be locked down to preserve the current plan","Emphasize that change requests with only be accepted if they come from executive sponsors and follow the formal change control process",B,B,1/1,"Agile anticipates and embraces change, using flexible, adaptive planning to ensure the team stays aligned with evolving priorities and delivers maximum value."
29,"During a sprint review, the Agile project manager observes that many tasks are stuck in the ""In Progress"" column of the Kanban board, with only a few reaching the ""Done"" column. Team members admit they are juggling multiple stories at once, but little is being completed. What should the Agile project manager do?","Implement WIP limits to encourage focus and improve task completion rates","Assign fewer stories to the backlog to reduce team workload","Ask team members to document all reasons for task delays in the next retrospective","Extend the sprint duration to give more time for work to be finished",A,A,1/1,"Limiting WIP is a core Agile practice that helps teams work efficiently, reduce risk, and continuously deliver value by focusing on completing rather than starting work."
30,"An agile project manager is coaching a hybrid team that recently merged members from both traditional and Agile backgrounds. During a workshop, one of the team members asks for help distinguishing between predictive, iterative, and incremental approaches. What should the agile project manager do?","Explain that all three approaches have fixed requirements but differ in delivery timing and cost management","State that the main difference lies in the team size and organizational maturity rather than requirements, delivery, or goals","Clarify that predictive uses fixed requirements and a single delivery, iterative uses dynamic requirements with repeated activities for correctness, and incremental focuses on frequent smaller deliveries for speed","Emphasize that predictive and iterative both aim for speed while incremental ensures correctness through multiple deliveries",C,C,1/1,"Clarifying the requirements, delivery methods, and goals of predictive, iterative, and incremental approaches provides the team with a structured understanding."
31,"A product owner wants to help the team and stakeholders visualize how end users will interact with a new application. The team is building features based on user stories, but some stakeholders are struggling to see how the features fit together in the broader user experience. What should the project manager recommend to improve shared understanding?","Develop a wireframe of the user interface","Create a detailed data flow diagram of all backend processes","Use agile modeling to create a use case diagram","Provide the stakeholders with a list of user stories sorted by priority",C,A,0/1,"Creating a use case diagram through agile modeling helps stakeholders and the team visualize system use from the user's perspective, fostering clarity and alignment."
32,"A team wants to improve the effectiveness of their retrospective action items. To ensure that the next goal they set is useful and achievable, they decide to make it more specific, measurable, attainable, relevant, and timely. Which principle are they applying?","MOSCOW Prioritization","INVEST Criteria","SMART Goals","Definition of Done",C,C,1/1,"The team is using the SMART framework to create well-structured, actionable goals that drive improvement."
33,"A software development team using Extreme Programming (XP) has recently experienced a surge in late-night work and burnout among developers. The project manager wants to encourage healthier working hours without sacrificing long-term delivery performance. Which XP practice directly supports this goal?","Pair programming","Refactoring","Sustainable pace","Test-driven development",C,C,1/1,"Promoting a sustainable pace is the most effective XP practice for supporting team health and long-term performance."
34,"A product owner is working with stakeholders to evaluate the importance of each feature request based on its expected return on investment. After ranking these features, the team uses those rankings to plan the sequence of development. Which technique is the product owner using?","Story mapping","Risk-based prioritization","Progressive elaboration","Value-based analysis and decomposition",D,D,1/1,"The product owner is applying value-based analysis and decomposition by evaluating ROI, ranking features, and guiding the team's development strategy accordingly."
35,"A stakeholder asks who is responsible for planning and managing the daily work of building the product during a sprint. They're curious whether this is directed by the Scrum Master or Product Owner. What should the agile project manager do?","Explain that the Product Owner manages the daily sprint tasks and delegates work","Clarify that the Scrum Master organizes daily work to maximize team efficiency","State that the Product Owner and ScrumMaster collaborate to assign work to developers","Explain that the Development Team self-manages its own work within sprints",D,D,1/1,"In Scrum, the Development Team is responsible for self-managing its daily work during the sprint to achieve the sprint goal."
36,"A team is estimating the cycle time for a new feature that has been sized at 60 story points. Their current throughput is 5 story points per day. What is the expected cycle time for this feature?","5 days","10 days","60 days","12 days",D,D,1/1,"With a throughput of 5 story points per day, a 60-point feature is expected to take 12 days to complete."
37,"During the retrospective, the team decides they should begin daily knowledge-sharing huddles, reduce time spent on lengthy email chains, and continue pair programming. Which activity best represents this part of the retrospective?","Gather data","Short subjects","Generate insights","Close retrospective",B,A,0/1,"By suggesting and selecting specific improvement actions, the team is engaged in the ""Short subjects"" activity of the retrospective."
38,"During the middle of a high-pressure sprint, two team members approach the Agile project manager to express frustration. One mentions repeated interruptions from stakeholders asking for status updates, while the other highlights that an unresolved technical issue has blocked progress for two days. Meanwhile, the product owner has also asked for help reiterating the product vision to align with stakeholder expectations. What should the Agile project manager do?","Schedule a stakeholder alignment meeting to clarify the product vision and reduce future interruptions","Work with the team to solve the technical issue and escalate it if needed","Remind stakeholders of the team's communication protocol to protect focus time","Prioritize removing the blocker and shielding the team from interruptions",D,D,1/1,"Servant leaders focus on what the team needs most right now to succeed. In this case, that means clearing the blocker and minimizing distractions."
39,"An Agile project manager notices that the band representing the ""Test"" stage in the cumulative flow diagram (CFD) has grown significantly wider over the last two weeks, while other bands remain stable. What should the Agile project manager do next?","Reallocate resources from development to testing to increase test throughput","Extend the sprint length to allow testing to catch up","Investigate the testing process for bottlenecks causing the delay","Instruct the team to slow development until testing finishes the backlog",C,A,0/1,"CFDs help visualize bottlenecks, and the best response is to investigate the root cause of delays to restore consistent, balanced flow."
40,"After completing a sprint, the Agile team gathers to reflect on their process and identify ways to improve teamwork and efficiency. The session focuses on what went well, what didn't, and what actions can be taken in the next sprint to improve. Which Agile activity is the team performing?","Retrospective","Daily standup","Sprint review","Pre-mortem",A,A,1/1,"Retrospectives help Agile teams continuously refine their collaboration and effectiveness by inspecting their performance at the end of each iteration."
41,"A team transitioning to Agile expresses concern about reducing the amount of documentation produced during development. They're used to creating detailed plans, specs, and approval workflows before writing any code. The agile project manager wants to help the team adopt a more value-focused mindset. What should the agile project manager do?","Advise the team to eliminate documentation entirely and focus only on coding","Instruct the team to postpone development until all paperwork and detailed requirements are completed","Emphasize that documentation is a higher priority than product delivery because it ensures traceability","Explain that Agile values working software over comprehensive documentation, and encourages creating only necessary, timely documentation that supports delivery",D,D,1/1,"Agile values working software over comprehensive documentation, encouraging teams to produce documentation needed to support clear communication and effective delivery."
42,"During a sprint, a development team finishes implementing a new feature and shares it with stakeholders for feedback. They collect comments, analyze what worked and identify areas for improvement. Which phase of the Agile cycle are they currently engaged in?","Plan","Evaluate","Learn","Develop",B,B,1/1,"The team is in the Evaluate stage, using stakeholder feedback to determine how well the delivered work met expectations and where improvements can be made."
43,"An Agile team wants to reduce waiting times and eliminate unnecessary steps in their current product delivery process. They begin by mapping out the flow of activities and identifying points of delay or non-value-added work. They then create a new diagram showing their ideal process flow. What tool is the team using to drive this improvement effort?","Process control chart","Burnup chart","Value-based prioritization matrix","Value stream map",D,D,1/1,"The team is using a value stream map to diagnose inefficiencies and redesign their workflow for improved process efficiency."
44,"An Agile team delivers an increment at the end of the iteration and shares it with stakeholders for feedback. The stakeholders provide valuable suggestions that could enhance the product, but the team is unsure whether to act immediately or wait until the next planning session. What should the Agile practitioner recommend?","Proceed with implementing the changes immediately to show responsiveness","Ignore the feedback for now and revisit it in the product roadmap review","Evaluate the feedback and incorporate it into the backlog for prioritization","Ask the stakeholders to submit formal change requests before considering their input",C,C,1/1,"Evaluating stakeholder feedback and incorporating it into the backlog supports continuous delivery of value while preserving alignment with team goals and Agile principles."
45,"After completing a sprint, the agile team conducts a session to reflect on what went well, what didn't, and what can be improved in the next sprint. A stakeholder who is new to Agile asks whether this meeting is part of project planning or customer review. What should the agile project manager do?","Explain that this is a retrospective","Clarify that the meeting is a sprint review meeting","Identify the meeting as part of release planning","Describe the meeting as a sprint planning session",A,A,1/1,"Retrospectives are internal team meetings held at the end of each sprint to promote continuous improvement through reflection and process adjustment."
46,"A project manager facilitates a retrospective by drawing a boat heading toward a goal line, with sticky notes representing wind that pushes the boat forward and anchors that slow it down. The team uses this visual to discuss enablers and blockers to progress. Which collaboration game is the project manager using?","Prune the Product Tree","Remember the Future","Sailboat","Boat Mapping",C,A,0/1,"The Sailboat game is ideal for retrospectives that explore what helps or hinders project momentum by visualizing threats and opportunities."
47,"During a strategy session, a stakeholder suggests adding flashy new features to surprise users, even though some basic functions still aren't working reliably. The Agile project manager wants to help the team balance customer satisfaction with value delivery by better categorizing features. What should the Agile project manager do?","Use Kano Analysis to identify which features are must-haves, satisfiers, and delighters","Defer all suggested features until the product backlog is completely cleared","Ask the stakeholder to submit a change request form for further evaluation","Shift all team focus to innovation features to boost customer enthusiasm",A,A,1/1,"Kano Analysis allows Agile teams to prioritize features by understanding their impact on customer satisfaction, ensuring essentials are met before investing in extras."
48,"An Agile project manager is coaching a newly formed development team. The team expresses uncertainty about how to divide the work and asks the project manager to assign tasks. Instead, the project manager encourages the team to collaborate, discuss priorities, and determine how best to organize themselves. What principle is the Agile project manager promoting?","Centralized control to ensure consistent delivery","Team self-organization and empowerment","Product owner direction of all development tasks","Fixed team roles based on hierarchy",B,B,1/1,"Encouraging the team to self-organize fosters accountability, adaptability, and long-term effectiveness, which is central to Agile project management."
49,"During a stakeholder onboarding session, a senior executive expresses skepticism about Agile, questioning how it adds value compared to traditional methods. The agile project manager wants to highlight some of the key benefits of using an Agile approach. What should the agile project manager do?","Explain that Agile ensures teams follow a fixed process and minimizes feedback loops to reduce complexity","Emphasize that Agile avoids involving customers throughout the life cycle to streamline decision-making","Highlight that Agile delivers all value at the end of the project but allows changes in the early stages","Describe how Agile involves customers throughout the life cycle, encourages continuous feedback, welcomes change, and delivers value earlier in the process",D,D,1/1,"Agile stands out by involving customers throughout the project, promoting continuous feedback, embracing change, and delivering value early and incrementally."
50,"During a backlog refinement session, a developer proposes adding an advanced reporting dashboard that wasn't requested but could ""impress the client later."" The feature would require significant effort and delay completion of a basic reporting function that the client has explicitly prioritized. What should the Agile project manager do?","Recommend completing the basic report first and deferring the advanced dashboard until it's requested","Encourage the developer's enthusiasm and assign the dashboard to an upcoming sprint for innovation","Add both reporting features to the next sprint to give the client multiple options","Approve development of the dashboard to demonstrate added value and technical capability",A,B,0/1,"Reducing waste requires prioritizing customer-defined value over speculative features. The Agile project manager should focus the team on work that delivers immediate, high-priority results."
51,"The product manager and stakeholders have each shared their vision for the project, but the development team seems unclear about what they're building and why. As the project manager, what should you do to promote a shared vision and purpose?","Facilitate a collaborative session to align all parties on a unified product vision","Ask the product manager to document and distribute a finalized version of the vision","Proceed with the current backlog and let clarity evolve during the iterations","Delegate clarification of the vision to the Scrum Master to present at the next standup",A,A,1/1,"Facilitating a collaborative session fosters alignment, ownership, and motivation, helping ensure the team understands and supports the product's purpose."
52,"An XP team is preparing to begin a new iteration. The customer explains which functionality they want delivered, and developers begin breaking the functionality into tasks, estimating the effort based on their capacity and prior performance. Which XP planning practice are they engaged in?","Iteration Planning","Release Planning","Sprint Grooming","Backlog Refinement",A,A,1/1,"The activity described aligns with Iteration Planning in XP, where the team collaborates with the customer to select and prepare work for the upcoming iteration."
53,"During an Agile project, a stakeholder asks how the team is tracking risk over time. The team presents a risk burndown chart showing the decreasing severity of identified risks from June through September. What does the risk burndown chart primarily demonstrate?","The number of risk response actions executed during the project","The remaining budget available for risk mitigation","The effectiveness of risk management throughout the project","The percentage of project scope at risk of failure",C,B,0/1,"Risk burndown charts provide a clear visual of how well the team is managing and reducing risk, reflecting the overall effectiveness of risk response strategies."
54,"A project manager is preparing for an Agile transformation across a large organization. During early discussions, senior leaders express concerns about the risk of failure, managers fear losing control, and users question whether all necessary features will be delivered. What should the project manager do to address these concerns?","Avoid discussing Agile until a successful pilot project is completed","Reassign skeptical stakeholders to other projects","Provide tailored Agile education to all stakeholders to address specific concerns","Shift from Agile to a hybrid approach to minimize resistance",C,C,1/1,"By proactively educating stakeholders on Agile and addressing their specific concerns, the project manager fosters understanding, reduces resistance, and builds support for successful adoption."
55,"During an Agile project, stakeholders express concern that their feedback is not being integrated until late in the development cycle. What should the Agile practitioner do to address this issue?","Involve stakeholders from the beginning and use iterative reviews to gather feedback continuously","Schedule a stakeholder review session after each sprint to collect feedback only once per cycle","Ask the Product Owner to deliver a detailed requirements document upfront","Increase the length of each sprint fo allow more time for review and planning",A,A,1/1,"Involving stakeholders from day one and maintaining regular, iterative engagement ensures feedback is timely and integrated effectively, promoting alignment and agility."
56,"During a team planning session, two senior developers disagree on the best technical approach for an upcoming feature. As tensions rise, the project manager intervenes by guiding the conversation toward mutual understanding and helping the team explore compromises without escalating the conflict What soft skill is the project manager demonstrating?","Active Listening","Negotiation","Emotional Intelligence","Facilitation",D,D,1/1,"Facilitation is the soft skill that allows the project manager to steer the team through conflict toward productive collaboration."
57,"During backlog refinement, a product owner uses numeric labels like Priority 1, Priority 2, and Priority 3 to sort upcoming features. However, several stakeholders argue that almost every item is Priority 1. The Agile project manager wants to recommend a better method to improve clarity and reduce ambiguity. What should the Agile project manager do?","Ask the team to rank all Priority 1 items based on complexity instead of business value","Recommend using MoSCOW prioritization to categorize items as Must have, Should have, Could have, or Won't have","Suggest removing prioritization labels altogether and letting the team pull work as capacity allows","Create a weighted scoring system using risk, value, and effort to automate item ranking",B,B,1/1,"To improve prioritization clarity and align backlog items with business value, Agile project managers should recommend structured methods like MOSCOW that reduce ambiguity and foster informed stakeholder input."
58,"A project manager notices that some stakeholders are unclear about the project's definition of ""done"" and are hesitant to provide input. What should the project manager do to foster better engagement and alignment?","Wait until the end of the sprint review to explain what ""done"" means","Remove hesitant stakeholders from planning sessions","Frequently clarify what ""done"" looks like and show ongoing progress","Send stakeholders a detailed document explaining all definitions",C,C,1/1,"Clarifying what ""done"" looks like and regularly showing progress are key to maintaining alignment and building stakeholder confidence throughout the project."
59,"While reviewing a failed project, executives notice that many major defects were only discovered during final testing, leading to costly rework and delays. The Agile project manager is asked to recommend a strategy to reduce the cost of change in future projects. What should the Agile project manager do?","Increase testing resources during the final phase to catch issues faster","Postpone major design decisions until more data is available from users","Encourage incremental delivery and earlier testing to identify problems when they are cheaper to fix","Use a traditional risk register to document risks and review them quarterly",C,C,1/1,"To reduce rework and manage costs, Agile project managers promote early feedback through continuous incremental delivery and testing. This allows teams to respond quickly before changes become costly."
60,"An agile project manager is working with a finance department that is new to Agile and is used to approving funding in large, upfront allocations. The project manager wants to introduce Agile concurrent development principles to help the department better understand how budgeting and delivery work in Agile environments. What should the agile project manager do?","Explain that Agile uses incremental funding, steady delivery of value, ongoing validation with users, early integration, and continuous adaptation to change and risk","Recommend deferring integration and risk assessment until just before release to reduce overhead and complexity","Suggest that Agile avoids customer validation and instead focuses on delivering large portions of work for executive review","Emphasize that Agile teams follow a fixed budget and scope once approved to avoid disruptions from ongoing feedback and change",A,A,1/1,"Agile promotes incremental funding, continuous validation, and early integration to support flexible, value-driven delivery and responsive risk management."
61,"An Agile team is managing a project with several high-risk features planned for late in the release cycle. The product owner is concerned about the cumulative risk and wants better visibility into how risk is being addressed over time. What should the Agile project manager do?","Use a risk burndown chart to visualize how project risks are being mitigated across iterations","Restructure the sprint backlog to remove high-risk features and replace them with low-risk tasks","Recommend deferring high-risk items to the end of development to avoid disruption early in the project","Advise the product owner to trust the team's flexibility to handle risk as it arises",A,A,1/1,"Agile teams manage risk using tools like the risk burndown chart to ensure visibility, track mitigation, and maintain stakeholder confidence throughout the project."
62,"A project team is preparing to begin work on a new Agile initiative. The team wants to align with stakeholders, clarify how the project will be conducted, and establish a shared understanding without locking down all the details too early. Which document should the project team create to accomplish this?","Detailed project scope statement","Agile charter that outlines project intent, W5H, and execution approach","Risk management plan with stakeholder tolerances","Statement of work (SOW) with final deliverables and cost estimates",B,B,1/1,"An Agile charter effectively establishes shared understanding and flexible structure for Agile projects, enabling collaboration and adaptive planning."
